Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_N2_d1;log2FC;Student's T-test Test statistic daf2_d1_N2_d1;Sign p-val: 0.05 
F13B12,4;Q19374;Putative pyridoxal-phosphate dependent protein F13B12,4;14,0261;14,0412;14,3292;14,4768;13,9107;15,9401;17,5139;13,8552;0,573101;0,19906;-1,08667;-1,22284;
iws-1;Q19375;IWS1-like protein;21,0628;20,8904;20,8334;22,2656;20,035;19,8961;19,28;20,1852;1,94885;0,00856857;1,41397;3,60859;+
CELE_F13D11,3;Q19388;Uncharacterized protein;14,3342;14,0556;13,8007;13,8662;11,6737;12,8296;12,7554;13,0546;2,31371;0,00402224;1,43585;4,34362;+
acp-5;Q19390;ACid Phosphatase family;14,1476;13,3849;12,7709;13,5094;12,8549;12,9208;13,0372;12,8904;0,944405;0,0784183;0,52738;1,85085;
CELE_F13D12,5;Q19393;Uncharacterized protein;13,5125;13,4305;13,7456;13,6882;14,5936;14,3926;14,3273;14,2158;3,46535;0,000700525;-0,788125;-7,27828;+
CELE_F13E6,5;Q19403;Uncharacterized protein;13,7786;13,8451;13,8049;14,3021;14,9096;14,9335;14,5743;14,2116;1,86486;0,0100746;-0,72459;-3,44897;+
yap-1;Q19404;Yes-associated protein homolog 1;12,6594;13,8322;13,8196;10,6851;12,8074;12,3689;12,65;13,5166;0,0384939;0,883581;-0,0866575;-0,111075;
dylt-1;Q19416;DYnein Light chain (Tctex type);15,1884;15,1288;15,1558;14,974;15,7758;15,4455;15,4294;15,5139;2,43338;0,00301379;-0,429407;-4,60142;+
ttx-7;Q19420;Inositol monophosphatase ttx-7;17,536;17,4443;17,3823;17,5642;17,1981;17,246;17,2038;17,2079;3,08694;0,00147368;0,267738;6,18987;+
mogs-1;Q19426;Mannosyl-oligosaccharide glucosidase;20,7335;20,9755;20,9301;21,1072;14,0249;13,4765;13,6219;13,7446;8,45224;0;7,2196;51,6612;+
CELE_F13H8,3;Q19431;Uncharacterized protein;14,1033;14,1132;14,0894;14,196;14,2124;14,0591;14,3808;14,4682;0,821564;0,107325;-0,154625;-1,64625;
CELE_F13H8,2;Q19433;Uncharacterized protein;13,0637;14,4684;12,9121;14,111;14,0231;14,2321;14,1358;13,8666;0,495799;0,243295;-0,425605;-1,08568;
upb-1;Q19437;UreidoPropionase Beta;17,9406;17,759;17,8044;17,4413;17,3845;17,7165;17,4941;17,4904;0,852411;0,0995074;0,21498;1,69777;
pes-23;Q19442;Patterned Expression Site;13,0849;13,9184;12,4836;12,9915;11,5565;12,1818;12,3558;11,6672;1,7963;0,0114182;1,17925;3,32099;+
sid-5;Q19443;Systemic RNA interference defective protein 5;14,3682;14,4666;13,7059;14,5736;13,3867;12,8993;13,1931;14,1305;1,43536;0,0254936;0,87618;2,67668;+
"CELE_F14D7,7;CELE_F14D7,10";"Q19451;Q7YX37";Uncharacterized protein;14,176;14,1526;14,1448;13,8689;13,5326;13,083;13,1892;13,7351;2,23575;0,00469069;0,70057;4,18039;+
F14E5,2;Q19459;Golgi apparatus protein 1 homolog;15,9511;15,7251;15,4878;15,5733;15,8026;16,1434;16,2439;16,4359;1,5214;0,0215469;-0,472142;-2,82633;+
mboa-7;Q19468;Lysophospholipid acyltransferase 7;12,8646;13,2031;13,3455;13,6357;14,4595;14,002;14,231;14,6293;2,6425;0,00222091;-1,06823;-5,07456;+
far-3;Q19478;Fatty Acid/Retinol binding protein;19,5567;19,0876;19,0034;18,7914;13,5169;13,7737;14,1662;13,4994;6,45875;0;5,37073;23,9533;+
far-5;Q19480;Fatty Acid/Retinol binding protein;12,5566;12,4571;12,9857;12,3855;14,1439;13,4122;14,1411;14,17;3,01291;0,00169849;-1,37059;-5,99272;+
rsd-6;Q19491;Uncharacterized protein;13,9003;13,0417;12,5304;12,6452;12,4262;12,363;12,2608;12,9388;0,759518;0,125017;0,532228;1,54216;
col-153;Q19514;COLlagen;16,1177;13,8772;14,62;14,8796;15,25;15,2585;14,6799;15,6312;0,270336;0,446847;-0,331268;-0,655231;
CELE_F17C11,7;"Q19518;Q5WRN6";Uncharacterized protein;12,5859;12,9922;13,6628;13,5344;14,0075;13,9632;15,0292;14,741;1,8396;0,0104028;-1,24141;-3,40158;+
vps-36;Q19519;Related to yeast Vacuolar Protein Sorting factor;13,9415;13,6904;13,2664;13,6915;14,9833;14,56;14,0866;13,8754;1,36774;0,0292253;-0,72892;-2,56049;+
CELE_F17C8,3;Q19527;Uncharacterized protein;10,9611;10,4933;10,8009;10,2759;12,6191;11,4755;12,4126;11,9101;2,57314;0,0026;-1,47153;-4,91428;+
CELE_F17H10,2;"Q19531;Q2XN01";Uncharacterized protein;14,7275;14,5391;14,9483;14,4944;13,4513;14,6027;14,5089;14,8199;0,46454;0,265453;0,331613;1,02907;
CELE_F18A1,7;Q19536;Uncharacterized protein;13,6119;14,1331;14,9248;14,2021;13,5275;13,576;13,4713;13,4983;1,38102;0,028371;0,69968;2,58321;+
rpa-1;Q19537;Probable replication factor A 73 kDa subunit;15,529;15,8557;15,4861;15,157;16,2329;16,1137;16,0468;15,7688;1,66179;0,0156367;-0,533598;-3,07551;+
utp-20;Q19545;UTP small subunit (SSU) processome component homolog;16,5447;16,607;16,8457;16,6207;14,82;15,0383;15,3748;15,1227;4,65915;0;1,56559;11,8426;+
abcf-1;Q19554;ABC transporter, class F;17,2977;17,0874;17,2749;16,7973;19,065;19,0801;19,2286;19,1299;5,51035;0;-2,01162;-16,564;+
scc-3;Q19555;Cohesin subunit scc-3;14,5798;14,3105;14,0004;13,6959;13,1692;13,6;13,5706;14,0336;1,10948;0,0529184;0,553297;2,12525;
ddo-2;Q19564;D-aspartate oxidase 2;13,3529;13,401;13,6919;13,8978;15,3692;13,843;14,1676;15,2543;1,42102;0,026081;-1,07265;-2,65195;+
nlp-7;Q19569;Neuropeptide-like protein 7;10,5515;10,7877;10,6497;10,3842;10,005;9,91818;9,95995;9,98489;3,44135;0,000857633;0,626258;7,20495;+
gpa-12;Q19572;Guanine nucleotide-binding protein alpha-12 subunit;15,3966;14,5921;15,8313;14,9757;15,4492;14,8695;14,85;15,7483;0,0299668;0,906972;-0,0303025;-0,087232;
pes-8;Q19573;Patterned Expression Site;13,6047;14,1009;14,1556;13,3529;14,8629;14,9343;14,7171;14,5224;2,36214;0,00354605;-0,955635;-4,44686;+
pab-2;Q19579;Polyadenylate-binding protein;16,4544;16,2058;16,3542;16,1017;16,3648;16,1644;16,2131;16,3254;0,0465303;0,860862;0,0121346;0,133187;
CELE_F18H3,4;Q19580;Uncharacterized protein;12,483;12,5428;12,602;12,8539;12,0416;12,1646;12,0611;11,7377;2,62774;0,00219493;0,619207;5,04016;+
ufd-1;Q19584;Ubiquitin fusion degradation protein 1 homolog;16,0738;15,5281;15,9311;15,7884;15,4396;15,1362;15,4873;15,763;1,12868;0,0507288;0,373832;2,15726;
CELE_F19C7,1;Q19591;Uncharacterized protein;17,4084;16,9182;16,8669;16,7026;16,7495;17,0734;17,2992;17,3932;0,313064;0,39695;-0,15479;-0,741595;
CELE_F20A1,1;Q19615;Uncharacterized protein;15,4614;15,4953;15,8557;15,4545;15,5425;15,5662;15,5133;15,2915;0,324568;0,383709;0,0883424;0,764376;
CELE_F20A1,10;Q19616;Uncharacterized protein;16,296;15,9788;15,571;15,207;13,2479;14,2583;14,1045;15,1144;1,8999;0,00961404;1,58196;3,51518;+
vha-12;Q19626;Probable V-type proton ATPase subunit B;20,3636;20,1892;20,1224;20,1311;20,7642;20,6313;20,6578;20,7481;3,59467;0,000400786;-0,498743;-7,68394;+
exc-9;Q19641;Uncharacterized protein;13,1658;13,2648;13,4715;13,4467;13,2185;11,478;10,9398;8,95601;1,32381;0,0325384;2,18916;2,48558;+
czw-1;Q19642;Centromere/kinetochore protein zw10 homolog;15,0658;14,2892;14,0565;13,9106;14,614;14,6561;14,769;14,8716;0,738261;0,131785;-0,397155;-1,50632;
CELE_F20D12,2;Q19643;Uncharacterized protein;15,8702;15,2351;15,3951;14,8916;14,3909;14,9341;14,769;14,9497;1,29299;0,0349962;0,58712;2,43328;+
CELE_F20D6,11;Q19655;Uncharacterized protein;16,0781;15,8314;16,2393;16,0664;15,4327;15,7696;15,6941;15,4206;2,08149;0,0063568;0,474542;3,86757;+
CELE_F21C10,10;Q19660;Uncharacterized protein;16,1222;16,0313;16,0959;16,0097;15,3549;15,5186;15,3694;15,2376;4,46361;0;0,694656;10,9532;+
CELE_F21C10,9;Q19661;Uncharacterized protein;14,3445;13,897;13,6634;12,4895;12,1989;12,8118;11,5225;12,7305;1,38556;0,0280952;1,28267;2,591;+
CELE_F21C10,7;Q19663;Uncharacterized protein;14,6392;14,4361;14,483;14,3403;14,5281;13,8714;14,3065;14,6153;0,349366;0,357973;0,144303;0,812874;
CELE_F21D5,1;Q19680;Phosphoacetylglucosamine mutase;15,4901;15,6486;15,677;15,406;15,4315;15,3933;15,4142;15,2938;1,2775;0,036134;0,172222;2,40707;+
F21D5,5;Q19683;Uncharacterized protein F21D5,5;13,9626;13,3093;14,1129;13,1443;13,6202;14,1024;13,7068;13,2832;0,0553886;0,837061;-0,0458853;-0,157177;
mrps-33;Q19685;Mitochondrial Ribosomal Protein, Small;12,8186;13,3092;12,9579;12,9022;15,2303;14,4946;15,0286;15,1476;4,24038;0;-1,97834;-10,013;+
CELE_F21D5,3;Q19687;Uncharacterized protein;12,6766;13,4211;13,614;13,0814;11,4331;14,5834;14,5998;11,5488;0,0605224;0,824052;0,157018;0,170905;
ttr-35;Q19694;TransThyretin-Related family domain;16,481;15,92;16,087;16,1605;16,1393;15,4468;15,8379;16,1019;0,684692;0,151456;0,280665;1,41545;
gfat-2;Q19699;Glutamine-Fructose 6-phosphate AminoTransferase homolog;15,067;14,772;14,995;14,8096;15,0285;15,1967;15,0743;15,3098;1,35064;0,0305953;-0,241452;-2,53128;+
eif-3,G;Q19706;Eukaryotic translation initiation factor 3 subunit G;16,8252;16,6426;16,7919;16,6008;17,0299;16,8086;16,7453;16,9685;1,03513;0,0628108;-0,17297;-2,00154;
frs-2;Q19713;Phenylalanine--tRNA ligase beta subunit;16,5087;16,4383;16,322;16,3418;16,66;16,754;16,6632;16,8009;2,89387;0,00184332;-0,3168;-5,68559;+
F22B5,10;Q19714;Calcium load-activated calcium channel homolog;16,0739;15,657;15,5566;15,6734;15,1534;16,1517;15,9646;15,8875;0,0710601;0,796762;-0,0490921;-0,198695;
ceh-38;Q19720;Homeobox protein ceh-38;10,8404;12,0788;12,4211;12,362;12,4769;11,7011;11,7825;12,1572;0,092211;0,746419;-0,103867;-0,253014;
nrs-1;Q19722;Asparagine--tRNA ligase, cytoplasmic;16,2771;16,1256;16,0547;16,0966;17,0503;16,6939;17,0948;17,0388;3,67571;0,000418891;-0,830923;-7,94768;+
CELE_F22D6,2;Q19723;Uncharacterized protein;14,9496;14,9836;14,9452;15,0365;13,8145;14,2683;14,2309;12,8697;1,95872;0,00827942;1,18289;3,62757;+
nduf-6;Q19724;Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial;17,6189;17,5425;17,4087;17,5246;17,2905;17,1447;16,3779;17,3902;1,04679;0,0610352;0,472843;2,02092;
ekl-1;Q19731;Uncharacterized protein;14,8695;13,0539;12,0365;12,566;14,0156;13,2735;13,6929;14,0704;0,439737;0,282626;-0,631618;-0,983597;
inx-3;Q19746;Innexin-3;14,9434;14,5297;14,3255;14,452;13,2023;13,79;13,5439;13,4117;2,98471;0,00176528;1,07569;5,91887;+
dlat-1;Q19749;Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial;18,7712;18,7566;18,6384;18,6236;18,2163;18,1597;18,278;18,3807;3,43544;0,000854701;0,438775;7,18702;+
fntb-1;Q19752;FarNesylTransferase, Beta subunit;13,7115;14,0976;13,9169;13,2418;13,3338;14,4628;14,1853;13,8463;0,294848;0,416933;-0,215102;-0,705126;
F23B12,7;Q19753;Uncharacterized protein F23B12,7;13,1455;12,7896;13,5022;13,4488;14,5004;14,4612;14,6757;14,6848;3,63338;0,000409639;-1,35899;-7,80899;+
tomm-20;Q19766;Mitochondrial import receptor subunit TOM20 homolog;17,7911;17,664;17,7557;17,6877;17,9492;17,4478;17,9034;17,3365;0,158014;0,611888;0,065392;0,411499;
snb-2;Q19767;SyNaptoBrevin related;13,9445;14,0188;13,8955;14,0294;14,3716;14,111;13,983;14,5045;1,15162;0,0485945;-0,270458;-2,19558;+
CELE_F25D1,5;Q19774;Uncharacterized protein;12,6528;11,2121;10,4633;12,3455;11,6331;13,3364;11,9172;11,5723;0,283223;0,430343;-0,446328;-0,681585;
ppm-1;Q19775;Protein phosphatase ppm-1;16,4045;16,2135;16,114;16,2076;16,2126;16,3218;16,0996;16,1553;0,191324;0,55468;0,0376115;0,486774;
ifd-2;Q19782;Intermediate filament protein ifd-2;15,1541;14,8306;14,7535;14,7207;15,6817;15,5009;15,523;15,6273;3,25294;0,000989442;-0,718525;-6,65012;+
dur-1;Q19790;Dauer Up-Regulated;18,0749;17,9749;18,0718;17,9522;14,9797;15,0601;14,9216;14,8016;8,30255;0;3,07769;48,7713;+
col-140;Q19813;COLlagen;14,082;14,5072;14,5114;14,8922;15,0943;14,7948;14,9429;15,3245;1,44801;0,025224;-0,540912;-2,69856;+
nhl-2;Q19818;NHL (Ring finger b-box coiled coil) domain containing;14,6629;13,7518;14,0443;14,0429;13,57;13,6486;13,4873;14,2498;0,731253;0,133959;0,38654;1,49448;
cee-1;Q19824;Conserved Edge Expressed protein;13,3047;13,59;13,2474;13,2918;13,8706;13,7688;13,6509;13,6947;2,25779;0,00438987;-0,38777;-4,22617;+
rrt-1;Q19825;Probable arginine--tRNA ligase, cytoplasmic;16,488;16,0837;16,1688;16,1168;16,3537;16,1055;16,1062;16,3728;0,0601724;0,824514;-0,0202293;-0,169973;
rpb-8;Q19826;Probable DNA-directed RNA polymerases I, II, and III subunit RPABC3;15,3963;15,3697;15,3798;15,4245;14,9811;14,8324;14,6853;15,0923;2,83365;0,00191732;0,494845;5,53472;+
CELE_F26G1,5;Q19830;Uncharacterized protein;13,5869;13,7076;12,9803;14,4325;14,1442;14,5413;14,5529;13,626;0,710713;0,140931;-0,539268;-1,4597;
msp-3;Q19832;Major sperm protein 3;19,6079;16,6038;16,5159;17,0534;21,3945;19,0914;17,2018;21,1421;0,94324;0,0785155;-2,26222;-1,84891;
pcca-1;Q19842;Propionyl-CoA carboxylase alpha chain, mitochondrial;19,8944;19,8477;19,9765;19,5636;17,9649;18,6046;18,6135;18,4403;3,69309;0,000428571;1,41474;8,00525;+
vrk-1;Q19848;Serine/threonine-protein kinase VRK1;13,8608;13,1884;13,5125;13,7561;14,0272;12,7025;13,2115;12,6749;0,569611;0,200981;0,42541;1,21672;
CELE_F28B4,3;Q19853;Uncharacterized protein;16,7167;16,5152;17,1787;16,4939;16,9445;17,0898;17,1529;17,185;1,14726;0,0487794;-0,366938;-2,18829;+
cpf-1;Q19864;Cleavage and Polyadenylation Factor;12,9923;12,6583;12,691;12,3177;11,0172;13,0541;12,9239;12,4813;0,247194;0,47517;0,295687;0,607178;
suf-1;Q19866;SUppressor-of-Forked (Drosophila) homolog;12,6729;12,3309;13,427;11,8582;14,384;12,2977;12,3228;13,663;0,432662;0,28811;-0,594612;-0,970527;
rpl-26;Q19869;60S ribosomal protein L26;19,8062;19,7841;19,8872;19,8447;19,9525;20,0557;20,0771;19,9779;2,57887;0,00249385;-0,185225;-4,9274;+
wdr-46;Q19873;WD Repeat protein;12,8981;12,5086;12,8424;14,2438;14,7607;13,8384;13,8529;14,5692;1,33466;0,0317861;-1,13209;-2,50405;+
thn-2;Q19876;THaumatiN family;14,5171;15,1331;15,0163;14,9108;15,1415;15,0878;15,2512;15,4328;1,13691;0,0498089;-0,334038;-2,171;+
rps-23;Q19877;40S ribosomal protein S23;20,0961;20,1083;20,0161;20,0238;20,6426;20,416;20,2385;20,5214;2,35241;0,00360784;-0,393527;-4,42601;+
CELE_F28H7,3;Q19891;Uncharacterized protein;13,7699;13,3244;12,9575;13,4948;14,9319;14,9001;15,1571;14,8483;3,86357;0,0005;-1,57269;-8,58895;+
hum-1;Q19901;Heavy chain, Unconventional Myosin;13,6497;13,7626;12,6069;13,2772;12,6739;12,5012;12,7052;12,9311;1,18885;0,04504;0,621255;2,25787;+
sqv-4;Q19905;UDP-glucose 6-dehydrogenase;16,2199;16,0511;16,2057;15,9024;15,9671;15,9298;15,9299;16,1387;0,532555;0,221575;0,103355;1,15136;
F32A5,4;Q19948;Uncharacterized protein F32A5,4;16,3852;16,3005;16,3803;16,26;15,3909;15,476;15,8116;16,1753;1,84304;0,0104149;0,61807;3,40802;+
aqp-1;Q19949;AQuaPorin or aquaglyceroporin related;14,3998;14,4585;14,3318;13,7336;14,842;14,0933;13,9637;14,5591;0,199851;0,542209;-0,133598;-0,505593;
lsm-4;Q19952;Probable U6 snRNA-associated Sm-like protein LSm4;16,2127;16,233;16,273;16,0718;16,6226;16,7026;16,4678;16,4914;2,73085;0,00211099;-0,373485;-5,28378;+
CELE_F32D8,5;"Q19966;Q9U3H0";Uncharacterized protein;14,9859;13,3069;13,9604;13,4052;16,5312;13,9374;15,5436;16,491;1,26139;0,0377676;-1,71122;-2,37986;+
emo-1;Q19967;Protein transport protein Sec61 subunit gamma;16,7775;16,5244;16,5514;15,795;16,2815;16,4897;16,6362;16,7351;0,209084;0,528292;-0,123575;-0,525782;
ima-3;Q19969;Importin subunit alpha-3;15,7673;15,6392;15,6826;15,6515;15,6031;16,4858;16,3275;16,1036;1,20631;0,0433989;-0,444828;-2,28716;+
cec-4;Q19972;Chromo domain-containing protein cec-4;14,1543;14,2978;14,2641;14,2177;14,195;13,435;12,9425;13,6967;1,35147;0,0305279;0,66618;2,53269;+
cec-5;Q19973;C,Elegans Chromodomain protein;12,1625;13,0082;13,1387;13,1911;14,2764;13,9678;13,8893;14,4501;2,44867;0,00304265;-1,27075;-4,635;+
best-14;Q19978;Bestrophin homolog 14;15,5191;15,3193;15,7038;15,5724;14,3706;14,6704;14,6401;14,5536;4,05358;0,000276657;0,969997;9,28284;+
cat-4;Q19980;GTP cyclohydrolase 1;12,8736;13,8475;13,7766;14,203;15,5467;16,2871;15,6037;16,4393;3,12451;0,00111741;-2,29402;-6,29178;+
tsp-8;Q19983;Tetraspanin;14,8957;14,9099;14,6514;14,988;15,3479;15,4511;15,3854;15,4093;3,39628;0,000888889;-0,537175;-7,06895;+
golg-2;Q19989;GOLGi associated coiled-coil protein homolog;14,1352;13,8889;14,1292;13,9299;14,7658;14,1822;15,0928;14,1149;1,10704;0,0531954;-0,518103;-2,12119;
pxn-1;Q1ENI8;Peroxidasin homolog;13,8129;13,6322;13,1131;13,1188;14,0406;13,3511;13,5725;14,1571;0,663964;0,158877;-0,361065;-1,38005;
CELE_T07F10,1;"Q1HB04;Q22317";Aminopeptidase;14,0352;14,2924;14,2767;14,5547;14,1243;14,5055;14,179;14,4798;0,0805309;0,774614;-0,0324328;-0,22325;
CELE_R31,2;"Q1NZ18;Q22015";Uncharacterized protein;16,974;16,2563;16,6785;16,2808;16,0011;16,2062;16,5431;16,4782;0,519833;0,228758;0,240265;1,12873;
F13E9,13;Q1NZ26;Uncharacterized protein F13E9,13, mitochondrial;13,2203;13,2576;12,8284;12,6825;13,9815;12,9446;14,9328;12,0159;0,306117;0,404276;-0,471492;-0,727745;
smg-6;"Q1T6W7;Q9BL68";Suppressor with Morphological effect on Genitalia;11,9624;11,7617;11,8839;12,7418;12,6198;11,7884;12,123;12,3148;0,170246;0,588805;-0,124019;-0,43948;
CELE_F10G7,10;"Q1W0R5;Q1W0R6;Q1W0R7";Uncharacterized protein;10,9072;10,8906;10,2455;10,9806;9,35127;10,9491;10,6605;10,7486;0,351653;0,35553;0,328602;0,817307;
tag-343;"Q1XFY2;Q9TZM9";Uncharacterized protein;13,0707;14,0238;13,6153;13,6772;13,232;13,124;12,4493;12,8675;1,37991;0,0284091;0,678557;2,58132;+
CELE_T10H9,8;Q1XFY4;Uncharacterized protein;15,2536;14,5512;14,5908;14,7005;14,29;14,4243;13,9797;13,8798;1,64361;0,0165234;0,630555;3,04286;+
rps-24;Q1XFY9;Ribosomal Protein, Small subunit;18,5268;18,1454;18,1287;18,1653;18,4995;18,8306;18,8053;18,7523;2,11814;0,00599579;-0,480368;-3,94073;+
add-2;"Q1ZXU2;Q20952";"ADDucin;Adducin-related protein 2";15,2166;15,1564;15,2981;15,2117;14,9407;13,4837;13,5932;14,6198;1,56204;0,0198083;1,06136;2,89779;+
CELE_F13H10,8;Q1ZXU7;Uncharacterized protein;15,6548;14,7832;14,895;14,6796;14,724;13,8629;14,537;14,8911;0,781621;0,118242;0,499377;1,57933;
acl-5;"Q1ZXU8;Q21812";ACyLtransferase-like;13,1154;12,8369;14,056;12,514;12,4333;12,2882;13,5501;13,1202;0,260573;0,458908;0,282557;0,635075;
CELE_F35A5,2;Q20006;Uncharacterized protein;10,9142;8,39834;10,759;10,8306;11,2819;11,4487;11,3283;10,8396;0,794251;0,114918;-0,9991;-1,60052;
CELE_F35A5,1;Q20007;Uncharacterized protein;13,1832;13,4169;13,5071;13,6131;14,6661;13,8828;14,4801;13,6339;1,52173;0,0215573;-0,735655;-2,82692;+
piit-1;Q20008;Protease Inhibitor I2 (Two);12,5815;12,7405;12,9995;12,7406;10,9811;10,842;10,0275;11,2269;3,46939;0,000585538;1,99617;7,29066;+
nlp-24;Q20011;Neuropeptide-Like Protein;19,063;18,7053;18,7668;18,6072;18,9201;18,5235;18,7553;18,3669;0,404784;0,309584;0,14413;0,918574;
dhs-20;Q20012;DeHydrogenases, Short chain;14,3983;14,2965;14,1806;14,0622;13,8101;14,4886;13,9633;14,363;0,171756;0,585839;0,0781398;0,442907;
tag-290;Q20014;Uncharacterized protein;14,2737;13,8977;14,2094;14,4121;13,4897;13,2541;13,4585;14,0036;1,81205;0,0110229;0,64669;3,35021;+
pfn-2;Q20025;Profilin-2;17,7638;17,2988;17,6849;17,611;17,7287;17,4861;17,6623;17,718;0,201292;0,539997;-0,0591631;-0,508758;
CELE_F35D11,5;Q20033;Uncharacterized protein;13,3454;14,007;12,8723;12,9009;15,0596;14,6595;15,1946;14,8234;2,894;0,00184544;-1,65288;-5,68593;+
CELE_F35D11,4;Q20034;Uncharacterized protein;18,0923;16,9765;16,8644;17,174;18,1856;17,9359;18,3143;18,166;1,62571;0,0170918;-0,873595;-3,01083;+
mlcd-1;Q20048;MaLonyl CoA Decarboxylase;13,0102;12,9939;13,2532;13,1391;12,5131;11,3129;11,3903;12,3776;2,00432;0,00760363;1,20062;3,71583;+
idhg-1;Q20049;Isocitrate dehydrogenase [NAD] subunit, mitochondrial;17,0334;16,9298;17,0852;16,9815;17,5633;17,7927;17,7646;17,5133;3,79705;0,000465753;-0,65102;-8,35697;+
CELE_F35G12,7;Q20051;Uncharacterized protein;13,177;13,0343;13,5981;13,5478;12,115;13,3523;13,4072;13,6288;0,233564;0,494484;0,213508;0,578407;
asb-1;Q20053;ATP Synthase B homolog;17,4168;17,4366;17,5611;17,3086;17,1185;17,2621;17,285;17,321;1,44878;0,0252086;0,184138;2,6999;+
CELE_F35G12,11;Q20057;Enhancer of rudimentary homolog;14,2607;14,3221;14,5684;14,4119;14,5509;14,944;14,7047;14,3778;0,940428;0,0792095;-0,253577;-1,84424;
CELE_F35G12,12;Q20058;Uncharacterized protein;16,8801;15,1581;15,1419;15,2965;15,6033;15,6267;15,6925;15,5017;0,0104083;0,964916;0,0131075;0,0309425;
wdr-48;Q20059;WD repeat-containing protein 48 homolog;12,1833;11,6869;12,6394;12,7755;13,0837;13,0473;12,749;12,1748;0,655777;0,162636;-0,44243;-1,36603;
smc-4;Q20060;Structural maintenance of chromosomes protein 4;12,6588;12,7683;12,8009;13,1452;12,3873;12,62;11,9624;14,3124;0,0146207;0,951869;0,0227647;0,043264;
marb-1;Q20062;Mitochondrial Associated RiBonuclease homolog;17,9271;17,6655;17,5694;17,4797;17,4126;16,9074;16,9716;17,3754;1,6289;0,0169691;0,493683;3,01654;+
CELE_F35G2,1;Q20063;Sulfhydryl oxidase;12,3292;13,0899;12,0357;10,8653;12,499;12,9781;12,9158;11,8617;0,402887;0,311077;-0,483607;-0,915013;
phy-2;Q20065;Prolyl 4-hydroxylase subunit alpha-2;14,6875;13,5991;13,2943;13,7898;15,6908;15,7447;15,757;15,8701;3,15308;0,0010585;-1,92297;-6,37016;+
CELE_F35H10,6;Q20070;Uncharacterized protein;12,6051;11,6323;10,8515;12,1297;11,8336;11,4297;11,4436;11,5761;0,246448;0,476356;0,23389;0,605612;
ugt-58;Q20086;Putative UDP-glucuronosyltransferase ugt-58;14,1197;13,7622;13,9034;13,817;14,397;15,0278;14,514;14,4532;2,25633;0,00437643;-0,69743;-4,22314;+
ttr-20;Q20089;TransThyretin-Related family domain;17,7359;17,4705;17,3191;17,3481;15,8421;15,8731;15,7466;16,2769;4,27803;0;1,53371;10,1662;+
fkb-1;Q20107;Peptidylprolyl isomerase;18,9828;18,2314;18,1276;17,9268;17,4499;17,9045;17,705;17,1871;1,45711;0,0248004;0,755506;2,71431;+
nlp-10;Q20114;Neuropeptide-Like Protein;13,2899;13,5075;13,3598;13,222;14,1673;14,225;14,0355;13,7882;3,08474;0,00146789;-0,709215;-6,18392;+
gcs-1;Q20117;Glutamate--cysteine ligase;14,9986;15,0051;14,6632;15,8415;15,1469;15,3706;15,2552;14,9692;0,0792615;0,777213;-0,0583551;-0,219981;
acs-4;Q20121;Fatty Acid CoA Synthetase family;16,8948;16,5298;16,8895;16,5447;16,8064;17,0919;17,0349;16,9385;1,09984;0,0538895;-0,2532;-2,10918;
CELE_F37C12,3;Q20122;Acyl carrier protein;17,2892;16,7543;17,7461;17,1135;16,7531;17,5084;17,3555;17,4019;0,0374896;0,88659;-0,0289474;-0,108288;
exos-9;Q20128;EXOSome (Multiexonuclease complex) component;13,0588;13,2145;12,7351;13,3559;13,272;13,5565;13,3883;13,4955;1,20737;0,0433104;-0,336985;-2,28895;+
F38B2,4;Q20140;Adenylate kinase isoenzyme 1;17,6699;17,3828;17,2935;17,2227;16,7699;17,0299;17,2155;16,7905;1,64829;0,0163646;0,440747;3,05126;+
CELE_F38B6,4;Q20143;Trifunctional purine biosynthetic protein adenosine-3;15,7492;15,3852;15,4776;15,5684;14,3415;14,4596;14,3895;13,988;4,12922;0,000291793;1,25043;9,57254;+
F38E1,9;Q20157;Mannose-P-dolichol utilization defect 1 protein homolog;15,0054;13,8802;14,8368;15,0875;14,1746;14,1819;14,582;14,3518;0,610415;0,180804;0,379853;1,28785;
hsp-12,3;Q20164;Heat Shock Protein;16,1755;16,1162;16,3312;16,0515;15,0273;15,7483;15,4227;15,2727;2,58341;0,00250332;0,800865;4,9378;+
cpin-1;Q20166;CyPIN (Guanine aminohydrolase) homolog;14,0586;13,9133;13,6165;14,6379;14,0366;13,0903;13,2263;13,6927;0,904574;0,0866076;0,545093;1,78464;
copb-2;Q20168;Probable coatomer subunit beta';15,7961;15,4838;15,632;15,732;15,7649;15,6896;15,9494;15,957;0,960085;0,0752102;-0,179245;-1,87689;
CELE_F38E9,5;Q20173;Uncharacterized protein;15,7653;15,6207;15,661;15,4379;15,8206;16,0115;15,7531;16,121;1,5085;0,022137;-0,305305;-2,80377;+
CELE_F38E9,1;Q20177;Uncharacterized protein;13,5764;13,1759;12,3736;12,4034;13,1135;13,0535;12,9295;13,8244;0,432323;0,288284;-0,34795;-0,9699;
