Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_eat2_d1;log2FC;Student's T-test Test statistic daf2_d1_eat2_d1;Sign p-val: 0.05 
CELE_F40F4,7;Q20220;Uncharacterized protein;13,5712;13,8242;13,6935;13,502;13,6047;13,5929;13,1715;13,7972;0,296612;0,441728;0,10615;0,708679;
lbp-1;Q20223;Fatty acid-binding protein homolog 1;19,2539;18,9785;19,1086;19,3545;18,7183;18,733;18,869;18,9785;1,83746;0,0127094;0,349202;3,39757;+
lbp-2;Q20224;Fatty acid-binding protein homolog 2;19,6945;18,7933;19,4051;19,1122;18,3998;19,2132;18,5295;18,702;1,0656;0,0675473;0,540143;2,0522;
rps-9;Q20228;40S ribosomal protein S9;19,1132;19,0249;19,0134;18,971;19,2229;19,5942;19,4032;19,3932;2,4195;0,00359375;-0,372733;-4,57105;+
lsm-1;Q20229;LSM Sm-like protein;13,937;13,7091;13,5609;13,9508;14,3784;14,3206;14,3707;14,0418;2,12654;0,00674286;-0,488405;-3,95758;+
F40F8,1;Q20230;UMP-CMP kinase 2;15,7795;15,2679;15,1279;14,7898;14,9281;15,0321;14,9003;15,0591;0,588346;0,211443;0,261363;1,24948;
drap-1;"Q20237;Q86G95";DRAP1 corepressor homolog;13,4103;13,102;13,1396;13,8573;12,9378;12,8195;13,0702;12,8842;1,31361;0,0394573;0,449364;2,46825;+
CELE_F40G12,5;Q20246;Uncharacterized protein;13,1384;12,9933;11,9869;12,4573;10,4985;10,2925;9,32092;8,97164;3,13673;0,000893617;2,87308;6,32523;+
F41C3,4;Q20263;Probable Golgi transport protein 1;14,1619;14,4415;13,8913;14,057;14,0632;14,5338;14,7566;15,0561;1,00039;0,0785753;-0,464475;-1,94383;
acs-11;Q20264;Fatty Acid CoA Synthetase family;17,1595;17,0475;17,2022;16,7773;17,0355;17,4392;17,2028;17,3545;0,806101;0,124842;-0,211362;-1,62038;
fip-5;Q20276;Fungus-Induced Protein;17,287;17,2645;17,392;17,2238;15,6498;16,3736;15,9069;16,2052;3,58652;0,000685139;1,25797;7,65783;+
fipr-21;Q20277;FIP (Fungus-Induced Protein) Related;19,3104;19,058;19,342;19,1716;18,3426;17,8176;17,9836;18,0309;4,03441;0,00020155;1,17682;9,21066;+
CELE_F41G3,6;Q20287;Uncharacterized protein;15,237;13,8272;13,8478;13,5913;14,228;13,6657;13,9869;14,1783;0,10319;0,744069;0,111075;0,280499;
elo-5;"Q20300;V6CLH1";"Elongation of very long chain fatty acids protein 5;Elongation of very long chain fatty acids protein";16,4747;15,7424;15,9254;15,6725;15,4438;15,4834;15,5558;15,519;1,31671;0,0392148;0,453228;2,47352;+
elo-6;Q20303;Elongation of very long chain fatty acids protein 6;15,5484;15,7511;15,8686;15,1285;15,875;14,5604;15,6884;15,89;0,070839;0,817471;0,0707002;0,198117;
abcf-3;Q20306;ABC transporter, class F;15,096;15,0911;15,1007;14,9009;15,8329;15,6901;15,9135;15,6257;3,91824;0,000172185;-0,718387;-8,78377;+
CELE_F42A10,5;Q20310;Uncharacterized protein;17,5116;17,4968;17,5358;17,5999;16,8608;16,5142;16,3321;16,4597;3,87363;0,000165605;0,994296;8,62452;+
CELE_F42A10,6;Q20311;Uncharacterized protein;16,3554;15,7638;15,7785;15,8174;16,0953;15,3785;15,4536;15,8199;0,504941;0,258188;0,24195;1,1021;
CELE_F42A10,7;Q20312;Uncharacterized protein;14,5203;13,9272;13,9617;14,3406;13,053;12,0861;11,4244;12,5967;2,61557;0,00284332;1,89742;5,01193;+
grl-4;Q20327;GRound-Like (Grd related);13,7039;14,6561;14,668;14,8019;11,9814;11,6734;11,7564;12,2742;3,9346;0,000177474;2,53613;8,84282;+
CELE_F42C5,9;Q20329;Uncharacterized protein;15,499;15,3763;15,4839;15,3688;15,6702;15,3946;15,5295;15,6781;0,915548;0,0953353;-0,136115;-1,80289;
ifo-1;Q20330;Intermediate Filament Organize;14,3305;14,4285;14,7346;14,5979;14,7522;14,1559;14,5146;14,3122;0,228439;0,524349;0,0891702;0,567495;
tni-1;Q20334;Troponin I 1;16,1606;15,6822;15,461;15,253;15,4914;15,0258;15,1139;15,1511;1,04545;0,0702316;0,44365;2,0187;
CELE_F42F12,4;Q20340;1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase;15,2687;15,0555;15,0271;14,4008;14,8979;14,4813;14,3342;14,8013;0,646157;0,183572;0,309323;1,34952;
CELE_F42F12,3;Q20344;Uncharacterized protein;11,1498;10,6868;10,7815;10,574;13,0066;11,3886;12,4171;12,2213;2,19211;0,00598504;-1,46036;-4,09056;+
alh-11;"Q20352;Q8MNS6";ALdehyde deHydrogenase;14,867;13,948;13,6965;15,0224;13,9179;13,9824;13,5729;14,4307;0,498314;0,262139;0,407465;1,09021;
CELE_F43C9,2;Q20358;Uncharacterized protein;19,0344;18,864;19,2374;14,7366;14,3565;14,6608;14,2807;14,971;1,68436;0,017765;3,40084;3,11622;+
sip-1;Q20363;Stress-induced protein 1;20,2149;20,2516;20,1598;19,7835;19,2309;19,0905;19,0882;18,8316;3,58238;0,000678304;1,04216;7,64459;+
rab-33;Q20365;Ras-related protein Rab-33;17,0261;16,2959;17,1884;16,6955;13,0814;12,9758;13,3114;13,0896;5,66531;0;3,68689;17,5977;+
patr-1;Q20374;Protein PAT1 homolog 1;14,3197;13,6472;13,9279;13,3266;14,3929;13,7542;13,8182;14,7452;0,544218;0,235448;-0,372295;-1,17202;
sptl-2;Q20375;Serine palmitoyltransferase 2;14,301;13,2626;14,4248;12,7986;13,5418;13,6038;13,9484;13,6384;0,0112687;0,968465;0,0136254;0,0334684;
nucb-1;"Q20384;Q8MQ51";NUCleoBindin homolog;16,3085;15,8741;15,6199;15,735;15,6989;15,4823;15,4447;15,6286;1,02094;0,0748253;0,320735;1,97795;
ppt-1;Q20390;Palmitoyl-protein thioesterase 1;13,5876;13,142;12,6168;13,3214;11,9294;11,726;11,8483;12,3672;2,53894;0,00301066;1,19925;4,8365;+
CELE_F44D12,2;Q20392;Uncharacterized protein;14,6007;14,6016;14,6551;14,6355;14,1913;13,6657;14,9166;13,8874;0,840436;0,114867;0,457972;1,67778;
F44G4,2;Q20412;Probable NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial;16,0665;15,912;16,3342;15,5572;17,0326;16,2172;16,5106;16,4788;1,34107;0,0370244;-0,592315;-2,51496;+
CELE_F45D3,4;"Q20420;Q52GY5";Uncharacterized protein;12,116;12,8491;13,2768;12,7779;11,9982;11,2129;11,3803;11,3387;2,28431;0,00498032;1,27243;4,28164;+
mrpl-14;Q20430;Mitochondrial Ribosomal Protein, Large;15,9043;15,6962;15,6681;15,657;15,5904;15,9341;15,7177;15,8478;0,166832;0,623261;-0,04107;-0,431711;
cnep-1;Q20432;CTD nuclear envelope phosphatase 1 homolog;12,8996;12,6711;11,4744;12,1914;10,5967;10,8698;10,8179;10,743;2,54195;0,00296154;1,55228;4,8433;+
smg-4;"Q20445;Q8WQF3";Suppressor with Morphological effect on Genitalia;14,1646;13,8578;13,6131;13,8888;14,0573;14,6065;14,0141;14,353;1,09935;0,062742;-0,37666;-2,10836;
ztf-7;Q20448;Zinc finger putative Transcription Factor family;16,1822;16,1418;16,2867;16,3058;16,7143;16,4172;16,3918;16,5183;1,8248;0,0130685;-0,281277;-3,37394;+
CELE_F46G10,1;Q20476;Uncharacterized protein;16,1978;15,9535;15,9691;15,7273;15,8699;15,9059;15,8456;16,0721;0,133557;0,682589;0,038553;0,354258;
lact-1;Q20489;Beta-LACTamase domain containing;10,8549;10,6668;10,7335;10,8417;10,6458;10,775;10,3925;10,5956;0,964626;0,0860171;0,17202;1,88443;
rhi-1;Q20496;Probable rho GDP-dissociation inhibitor;16,2934;16,2518;16,3305;16,327;15,7468;15,9319;15,7241;15,8317;4,16859;0,000231111;0,492045;9,7265;+
haly-1;Q20502;Histidine ammonia-lyase;17,0321;16,873;16,9508;16,7457;17,4918;17,1147;17,0835;17,3752;1,69362;0,0173145;-0,365928;-3,13298;+
acbp-3;Q20507;Acyl-CoA-binding protein homolog 3;18,2812;17,8744;17,8127;17,9344;17,3623;17,8946;17,9197;17,5411;0,866271;0,108314;0,296247;1,72088;
pepm-1;Q20520;PEPtidase M1 domain containing;12,0233;12,5151;12,2821;12,4503;13,291;12,7126;12,751;12,8525;1,83141;0,0128268;-0,584055;-3,38628;+
CELE_F47B8,8;Q20521;Uncharacterized protein;10,9705;10,3587;10,7109;10,7588;12,7273;12,773;12,191;11,6331;2,82317;0,00194536;-1,63137;-5,50875;+
CELE_F47G9,1;Q20546;Uncharacterized protein;15,7528;15,7219;15,5729;15,4679;15,4497;15,8211;15,5883;15,6964;0,0334388;0,911259;-0,0100148;-0,0969889;
pqn-39;Q20576;Prion-like-(Q/N-rich)-domain-bearing protein;14,742;14,1945;14,3272;14,5808;13,5767;13,6355;13,7737;14,1206;2,12262;0,00677532;0,684523;3,94972;+
CELE_F49C12,7;"Q20584;Q27GQ5";Uncharacterized protein;14,9799;13,4746;13,6361;13,4625;14,9466;14,8658;15,1106;15,2917;1,6661;0,0183738;-1,16537;-3,08328;+
rpn-7;Q20585;26S proteasome non-ATPase regulatory subunit 6;15,6813;15,5364;15,4718;15,376;16,1617;15,904;15,6329;16,1064;1,73203;0,0158916;-0,434902;-3,20282;+
F49C12,11;Q20588;Translation machinery-associated protein 7 homolog;18,3223;18,1173;18,3468;18,165;17,0307;17,3776;17,4625;17,5621;3,31595;0,000785276;0,879623;6,83169;+
dod-23;Q20615;Downstream Of DAF-16 (Regulated by DAF-16);13,8039;12,8673;12,777;13,3179;14,4379;15,1912;16,0149;14,9724;2,54964;0,00299029;-1,96257;-4,86075;+
skpo-1;Q20616;Peroxidase skpo-1;15,6399;15,781;15,8487;15,8351;16,4854;16,5775;16,7503;16,7178;4,46834;0;-0,856555;-10,974;+
CELE_F49E2,5;Q20626;Uncharacterized protein;18,1714;18,0018;18,2041;17,8801;18,01;17,7089;17,5771;17,9125;1,10638;0,0614633;0,2622;2,12008;
pam-1;"Q20627;Q4TT88";Aminopeptidase;17,9685;17,9414;17,9517;17,8875;17,7553;17,8973;17,8994;17,7269;1,27243;0,0426853;0,117553;2,3985;+
cdd-2;Q20628;Cytidine deaminase;17,5585;17,4025;17,6845;17,2803;16,2762;16,4272;16,4636;16,5702;4,17611;0,000233184;1,04719;9,75616;+
gcsh-2;Q20634;Glycine cleavage system H protein;19,5382;19,1532;19,6154;19,0751;17,8116;17,8381;17,8809;18,0915;4,14245;0,000220339;1,43994;9,62401;+
gpb-2;Q20636;Guanine nucleotide-binding protein subunit beta-2;13,9992;13,1089;12,5448;13,1483;13,353;13,8045;13,4442;14,5692;0,706306;0,158839;-0,592423;-1,45222;
CELE_F52A8,1;Q20637;Uncharacterized protein;19,0135;18,5462;18,4318;18,7856;18,4823;18,3518;17,9228;19,205;0,286334;0,453745;0,20379;0,687906;
nmy-1;Q20641;Non-muscle MYosin;16,0577;14,9987;14,9864;14,9613;15,4687;15,4483;15,4887;15,178;0,206312;0,558866;-0,144885;-0,519742;
CELE_F52B5,2;Q20643;Uncharacterized protein;14,7608;14,8841;14,7871;15,1308;15,7651;15,4326;15,6634;15,6288;3,26851;0,000874016;-0,73178;-6,69461;+
rpl-25,2;Q20647;60S ribosomal protein L23a 2;19,9341;19,6504;19,9095;19,8998;19,7869;19,4739;19,5132;19,721;1,1622;0,0544816;0,22471;2,21326;
ftt-2;Q20655;14-3-3-like protein 2;21,4042;21,309;21,0351;21,2286;20,9317;21,4417;21,2468;21,122;0,171275;0,616178;0,0586672;0,441815;
hsp-17;"Q20660;Q7JP52";Heat Shock Protein;16,608;16,6091;16,5593;16,3937;16,7246;16,6452;16,3569;16,5483;0,102188;0,746045;-0,0262022;-0,278011;
CELE_F52E4,5;Q20675;Uncharacterized protein;15,5991;15,635;15,1879;15,4279;15,3107;15,2477;15,1469;15,0391;1,23717;0,0461011;0,276335;2,33904;+
pccb-1;"Q20676;Q8WQF1";Propionyl Coenzyme A Carboxylase Beta subunit;18,7521;18,1872;18,2482;18,1219;18,1863;18,2491;18,0696;18,2357;0,421783;0,320622;0,142157;0,950342;
sec-3;Q20678;Exocyst complex component 1;12,0258;12,368;11,3319;11,484;11,4699;11,298;11,3639;11,5521;0,761751;0,140182;0,381432;1,54592;
let-268;Q20679;Procollagen-lysine,2-oxoglutarate 5-dioxygenase;14,9022;14,6715;14,7219;14,6912;14,6015;14,565;14,4361;14,5032;1,85662;0,0121752;0,220208;3,43348;+
F52H3,5;Q20683;Tetratricopeptide repeat protein 36 homolog;16,6874;16,2168;16,3876;15,8512;16,0232;15,6262;15,6971;16,09;1,05688;0,0686048;0,426643;2,03769;
lec-2;Q20684;GaLECtin;19,1413;18,9954;19,1722;18,8917;18,5816;19,0746;19,3433;18,7521;0,252489;0,493749;0,11229;0,618257;
CELE_F53B3,6;Q20711;Uncharacterized protein;15,8892;15,916;16,1844;15,7355;16,0609;15,2301;15,5275;15,6004;0,835816;0,115885;0,326558;1,67007;
CELE_F53B7,3;Q20716;Uncharacterized protein;15,1751;14,7452;14,9352;14,469;14,0737;13,6676;14,2581;14,3004;1,96491;0,00926464;0,756182;3,63949;+
F53F4,10;Q20719;Probable NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;18,4455;18,2736;18,136;17,7537;18,1889;18,3542;18,3984;18,3157;0,477816;0,27615;-0,162095;-1,05321;
CELE_F53F4,11;Q20720;Uncharacterized protein;15,089;15,0098;15,0784;14,8179;15,2084;15,3585;15,1612;15,5006;1,67813;0,01795;-0,308427;-3,10496;+
CELE_F53F4,13;Q20724;Uncharacterized protein;14,7302;15,2341;15,1819;15,031;15,6318;15,1908;15,1644;15,3252;0,925726;0,0932464;-0,283705;-1,81981;
tbcb-1;Q20728;Tubulin-specific chaperone B;16,2495;15,6457;15,5113;15,339;15,8434;15,6369;15,7623;16,1157;0,286914;0,453134;-0,153233;-0,689083;
unc-84;Q20745;Nuclear migration and anchoring protein unc-84;13,636;13,6635;13,5116;14,5093;13,3075;14,38;13,385;13,6685;0,167294;0,622469;0,144838;0,432766;
atad-3;Q20748;ATPase family AAA domain-containing protein 3;17,0023;16,6653;16,7032;16,7332;17,236;17,2924;17,1405;17,3854;2,73121;0,00231392;-0,487603;-5,28465;+
iff-2;Q20751;Eukaryotic translation initiation factor 5A-2;17,6101;17,571;17,3169;17,0091;17,8042;17,3524;17,0944;17,3651;0,0470918;0,875277;-0,0272551;-0,13472;
stc-1;Q20752;STCH (Truncated HSP) family;13,4751;13,4983;13,8167;14,016;14,442;13,5349;13,9529;14,5932;0,773279;0,136434;-0,4292;-1,56531;
CELE_F54C9,3;Q20753;Uncharacterized protein;15,1127;14,5722;14,809;14,4053;14,825;14,0568;13,7854;14,8026;0,543868;0,235666;0,357373;1,1714;
col-38;Q20754;COLlagen;10,9583;10,4166;10,8008;10,7033;15,4394;14,2112;15,12;15,2416;5,17525;0;-4,2833;-14,5243;+
bcs-1;"Q20755;Q58AA8";BCS1 (Mitochondrial chaperone) homolog;13,174;12,6306;12,6146;12,9251;14,0951;14,3497;13,8669;14,2104;3,60181;0,000701031;-1,29449;-7,70689;+
puf-5;Q20757;Pumilio domain-containing protein 5;12,3019;12,0161;10,8682;11,3272;12,8082;12,712;12,7688;12,3664;1,64021;0,0191346;-1,03551;-3,03678;+
arl-1;Q20758;ADP-ribosylation factor-like protein 1;14,138;14,9554;14,8228;15,7092;14,2907;14,8691;14,547;14,2223;0,559186;0,227268;0,424042;1,19841;
CELE_F54C9,9;Q20760;Uncharacterized protein;12,6261;12,114;12,0199;12,0544;13,7226;12,9534;13,8973;14,686;2,24928;0,00539721;-1,61121;-4,20846;+
F54D1,6;Q20762;Uncharacterized protein F54D1,6;14,772;14,6926;14,6994;14,7141;14,9115;14,7051;14,9415;15,1262;1,20659;0,0492376;-0,20154;-2,28763;+
CELE_F54D5,3;Q20769;Uncharacterized protein;16,6452;15,8475;15,9211;16,0021;14,4313;14,0366;15,2632;14,9928;2,29133;0,00485045;1,42296;4,2964;+
CELE_F54D5,4;Q20770;Uncharacterized protein;17,991;18,038;18,0014;17,8385;16,6285;17,3211;17,4872;17,0783;2,32652;0,0044424;0,838455;4,3708;+
F54D5,7;Q20772;Probable glutaryl-CoA dehydrogenase, mitochondrial;16,9936;16,7628;16,9754;16,4763;16,5652;16,5304;16,8554;16,4827;0,627395;0,192546;0,193593;1,31721;
dnj-13;Q20774;DNaJ domain (Prokaryotic heat shock protein);16,5297;16,3015;16,2107;16,396;16,7937;16,1117;16,1967;16,2975;0,0194012;0,947408;0,00955296;0,0571122;
tag-174;Q20779;Probable cytochrome c oxidase subunit 6A, mitochondrial;17,3839;17,5845;17,3717;17,4755;18,6088;18,0515;17,5156;18,6048;1,49742;0,0254895;-0,741288;-2,7844;+
alh-1;Q20780;ALdehyde deHydrogenase;20,0361;19,8707;19,9063;19,9598;19,7452;19,8749;19,7502;19,996;0,711237;0,157079;0,101653;1,46059;
CELE_F54F7,2;Q20789;Uncharacterized protein;13,5562;13,0204;13,2267;13,2968;14,0337;13,2747;13,314;13,2229;0,364383;0,370634;-0,186305;-0,841865;
CELE_F54F7,3;Q20790;Uncharacterized protein;16,21;16,0173;16,0194;16,2354;14,3149;14,8181;15,3623;14,5968;2,96587;0,00150538;1,34746;5,86991;+
CELE_F55A11,1;Q20796;Uncharacterized protein;15,7968;15,5289;15,5269;15,8177;14,5872;15,5799;15,4348;15,6384;0,668238;0,174066;0,357518;1,38737;
syx-5;Q20797;Putative syntaxin-5;12,6107;12,8271;12,1687;13,2997;13,7746;13,9674;13,4304;13,7476;2,0769;0,0071828;-1,00344;-3,85846;+
sel-11;Q20798;E3 ubiquitin-protein ligase hrd-1;15,6523;15,7773;15,7431;14,7338;16,0012;16,8874;15,1714;15,6818;0,474599;0,278198;-0,458827;-1,04737;
rfip-1;"Q20813;Q8IG15;Q95ZS6";Rab-11 Family Interacting-Protein;13,5037;13,1154;13,2016;13,1597;12,3367;8,77974;12,6915;12,4041;0,923435;0,0934503;1,69212;1,816;
ssp-35;Q20815;Sperm Specific family, class P;15,4015;15,2298;15,3573;15,3449;14,3584;13,9785;14,2856;14,5734;3,70855;0,000612813;1,03442;8,05675;+
tsfm-1;Q20819;Elongation factor Ts, mitochondrial;16,6226;16,3567;16,2433;16,3104;16,4256;16,3935;16,3454;16,5229;0,163172;0,629065;-0,0386071;-0,423348;
rskd-1;Q20821;Ribosomal protein S6 Kinase Delta homolog;13,644;12,6769;13,0474;13,6553;14,9398;14,781;14,1842;12,9778;0,979314;0,0828597;-0,964812;-1,90883;
srpa-68;Q20822;Probable signal recognition particle subunit SRP68;15,6319;15,4101;15,2091;15,1746;15,4252;15,4155;15,5017;15,4537;0,37554;0,359295;-0,0925672;-0,863229;
aman-1;Q20829;Alpha-mannosidase;15,9836;15,9655;16,0068;16,4198;15,5766;15,5178;15,6961;15,6074;2,29068;0,00484608;0,494423;4,29502;+
F55G1,9;Q20848;Putative pyrroline-5-carboxylate reductase;14,9668;14,6405;14,3226;14,6131;15,6077;15,5376;15,4124;15,7079;3,16052;0,000916364;-0,930618;-6,39068;+
rod-1;Q20849;Kinetochore-associated protein rod-1;14,1556;14,2317;13,7517;14,5163;15,3512;14,4276;14,6006;14,8597;1,3481;0,0363144;-0,645962;-2,52695;+
CELE_F56C9,7;Q20865;Uncharacterized protein;14,0522;13,8076;13,7151;13,6235;14,0063;15,2893;14,4199;14,8393;1,55628;0,0221223;-0,83912;-2,88763;+
CELE_F56C9,8;Q20866;Uncharacterized protein;12,3594;12,2964;12,299;12,6911;12,3507;11,7542;12,0786;12,6057;0,471463;0,280681;0,214211;1,04167;
daz-1;Q20870;DAZ protein 1;14,5151;14,3849;14,0394;14,194;13,8783;14,5815;15,5779;14,3074;0,346008;0,387579;-0,302937;-0,806353;
ddx-15;Q20875;Pre-mRNA-splicing factor ATP-dependent RNA helicase ddx-15;14,527;14,3829;15,0456;14,5013;15,2185;15,096;15,2355;15,2442;2,0801;0,00713097;-0,584348;-3,86482;+
CELE_F56D3,1;Q20877;Uncharacterized protein;17,68;17,2497;17,3255;17,1787;16,8526;16,8504;16,7781;16,8681;2,43647;0,00346298;0,521166;4,60819;+
CELE_F56D5,6;Q20881;Uncharacterized protein;15,873;16,0208;15,9809;15,8834;14,9988;14,9584;14,9627;15,2193;4,80711;0;0,90472;12,5595;+
ifet-1;Q20898;Translational repressor ifet-1;16,4162;16,2772;16,4107;16,348;15,2804;15,6604;15,3712;15,1858;4,02852;0,000197719;0,9886;9,18859;+
yif-1;"Q20913;Q2PJ77";YIP1-Interacting Factor homolog;15,3144;14,7445;15,0836;14,9266;16,5274;16,0784;16,8333;16,4888;3,52116;0,00077512;-1,46468;-7,4511;+
"col-160;col-159";"Q20921;Q20922";COLlagen;15,4642;15,5647;15,7909;15,7037;15,4238;15,7635;15,4223;16,729;0,264211;0,479067;-0,203783;-0,642606;
sun-1;Q20924;Sun domain-containing protein 1;13,0239;12,0938;12,3921;11,6779;10,7081;10,8845;10,2523;10,6855;2,74199;0,00219206;1,66431;5,31059;+
byn-1;Q20932;Cell adhesion protein byn-1;13,741;13,4713;13,6057;13,3912;14,0353;14,1425;14,2628;14,358;3,09538;0,00104647;-0,647345;-6,21264;+
rpn-6,1;Q20938;Probable 26S proteasome regulatory subunit rpn-6,1;16,6251;16,5464;16,4778;16,5619;16,8081;16,6931;16,6824;16,9214;1,89443;0,0108407;-0,223428;-3,5048;+
F57B9,1;Q20939;Putative pyridoxamine 5'-phosphate oxidase;13,9563;13,972;14,4198;13,3058;14,0386;13,8142;13,8267;14,0417;0,0241607;0,935331;-0,016835;-0,0707616;
mrp-2;Q20943;Uncharacterized protein;13,9629;13,1241;14,4696;12,1202;14,2722;14,1834;13,8947;14,6294;0,758449;0,141084;-0,82572;-1,54036;
CELE_F57F5,1;Q20950;Uncharacterized protein;18,8692;18,7665;18,5209;18,8724;17,0259;17,2439;17,3935;17,2319;5,02835;0;1,53347;13,7078;+
lys-4;Q20964;LYSozyme;14,8727;14,2184;14,2526;14,2828;15,4727;15,8645;16,0023;15,6937;3,37092;0,000692308;-1,35165;-6,99333;+
CELE_F58B3,6;Q20965;Uncharacterized protein;13,7938;13,8096;14,7793;13,54;14,5702;14,086;14,6038;14,5636;0,78468;0,132424;-0,47522;-1,58446;
CELE_F58B3,7;Q20966;Uncharacterized protein;11,0044;10,7423;10,5896;10,7723;11,2862;10,9776;11,4141;10,9278;1,37032;0,034384;-0,374241;-2,5649;+
CELE_F58B3,4;Q20969;Uncharacterized protein;12,3645;11,6544;11,7858;12,0735;13,4507;13,0632;13,5427;13,1235;3,27297;0,00087747;-1,32545;-6,7074;+
mrs-1;Q20970;Methionine--tRNA ligase, cytoplasmic;16,4394;16,4337;16,2142;16,4357;16,1599;16,7488;16,0927;16,3802;0,0808069;0,793468;0,0353622;0,22396;
CELE_F58B4,5;Q20974;Uncharacterized protein;15,6053;15,8997;15,7066;16,1996;16,7804;16,4237;16,4544;16,6423;2,45693;0,00325478;-0,722397;-4,65321;+
CELE_F58E6,5;Q20981;Major sperm protein;12,6693;12,5366;12,1068;13,444;11,2295;9,94291;11,7791;10,7317;1,99088;0,00869677;1,76841;3,6897;+
acox-3;Q20992;Acyl-coenzyme A oxidase;13,9583;13,8736;13,7827;13,8686;13,8391;13,1775;13,1201;13,0624;1,66985;0,0182798;0,571048;3,09004;+
myo-5;Q21000;MYOsin heavy chain structural genes;20,341;20,146;20,2583;20,181;19,8179;19,7926;19,5375;19,4872;3,00925;0,0014016;0,572803;5,98307;+
amph-1;Q21004;AMPHiphysin homolog;14,54;14,7457;14,4188;14,5874;15,0245;14,7875;15,0829;15,0202;2,30019;0,00467273;-0,405812;-4,31505;+
F58H1,3;Q21012;Enolase-phosphatase E1;13,5384;13,6658;13,56;13,1688;14,4144;14,0233;14,3809;15,2787;1,95352;0,00949129;-1,04107;-3,61757;+
cri-3;Q21018;Conserved regulator of innate immunity protein 3;18,07;17,7311;17,7494;17,9426;17,9207;17,7533;17,4345;17,7088;0,620328;0,195939;0,168938;1,30501;
npp-9;"Q21021;Q86G90";Nuclear Pore complex Protein;16,5952;16,4545;16,4972;16,4217;17,7912;17,31;17,3381;17,6224;3,80841;0,000506024;-1,02325;-8,3962;+
rnh-1,0;"Q21024;Q86MP4";RNase H;14,4537;14,1338;14,0509;14,3622;14,2446;13,0361;13,2451;13,5745;1,38141;0,0333346;0,725067;2,58388;+
ver-3;Q21038;Tyrosine-protein kinase receptor ver-3;13,3446;12,8326;13,067;13,0408;12,4209;12,6479;12,4932;12,6473;2,31226;0,00471127;0,518967;4,34056;+
vps-35;Q21053;Vacuolar protein sorting-associated protein 35;14,3458;14,3912;14,0759;14,4676;14,8467;14,8062;14,9129;14,9968;3,02219;0,00141519;-0,570545;-6,01716;+
hch-1;Q21059;Zinc metalloproteinase nas-34;13,9295;15,9342;13,7969;15,3703;13,2972;13,8179;14,4573;14,0433;0,714524;0,155926;0,853822;1,46616;
ifa-3;Q21065;Intermediate filament protein ifa-3;18,4812;17,8718;18,0727;18,2621;18,7995;18,5918;18,3427;18,7208;1,44313;0,0288529;-0,441772;-2,69012;+
CELE_K01A11,2;Q21069;Uncharacterized protein;14,1971;14,0186;14,6131;14,3624;14,5453;14,5704;14,7852;15,2193;1,27452;0,0425164;-0,482248;-2,40203;+
CELE_K01C8,1;Q21080;Uncharacterized protein;13,7283;13,4041;13,0486;13,8428;14,375;14,309;14,5333;14,6701;2,57817;0,0030177;-0,965885;-4,92578;+
mrpl-10;Q21083;Mitochondrial Ribosomal Protein, Large;15,0738;14,3071;13,7005;15,7604;14,8056;14,6318;14,4979;14,3576;0,110723;0,728852;0,137243;0,299095;
nst-1;Q21086;Guanine nucleotide-binding protein-like 3 homolog;15,2171;14,7963;14,9135;14,4739;15,6625;15,5664;15,3205;15,8634;2,1238;0,00678605;-0,753002;-3,95209;+
CELE_K01D12,6;Q21096;Uncharacterized protein;13,8087;13,8596;13,8645;13,3157;14,1159;13,6393;13,3457;13,9513;0,0853507;0,782788;-0,0509377;-0,2356;
dcaf-1;Q21106;DDB1- and CUL4-associated factor homolog 1;15,1044;14,7562;14,8418;15,2735;14,8706;14,6137;14,5748;14,8148;1,01792;0,075418;0,275532;1,97295;
endu-1;Q21109;Poly(U)-specific endoribonuclease homolog;14,4066;13,929;14,1395;13,3544;13,8445;13,5565;14,2381;14,2975;0,032521;0,913513;-0,0267653;-0,0944162;
mcu-1;Q21121;Calcium uniporter protein, mitochondrial;12,8752;12,5916;12,7721;12,9806;13,7808;13,6265;13,5928;13,8374;3,94641;0,000181185;-0,904465;-8,88565;+
pfkb-1,2;Q21122;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase;14,1546;14,0141;14,2062;13,9687;14,2767;13,6001;13,7168;13,9631;0,577193;0,217744;0,196745;1,23;
CELE_K02F3,9;Q21151;Uncharacterized protein;16,8536;16,742;16,8789;16,5652;15,8506;15,9264;15,6732;16,201;3,18923;0,000929889;0,84714;6,47042;+
far-8;Q21152;Fatty Acid/Retinol binding protein;15,0021;14,7429;14,8033;14,8444;14,6287;14,2215;14,6161;14,4408;1,82236;0,0132182;0,371392;3,36941;+
K02F3,2;Q21153;Probable calcium-binding mitochondrial carrier K02F3,2;15,9197;15,7931;15,7537;15,6292;16,0546;16,26;16,2154;16,1773;2,78665;0,00197086;-0,402905;-5,41898;+
